dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
Brick,215,0,0.06175612950123387,False,0.1909975585409665,0.24578469091295138,0.1909975585409665,0.24578469091295138,-0.054787132371984876,-28.684729161202206,-0.054787132371984876
CMU [3000-3999 psi],137,0,0.4326005646638752,False,0.043585248804186974,0.046600760977547596,0.043585248804186974,0.046600760977547596,-0.0030155121733606224,-6.918653113369265,-0.0030155121733606224
CMU [4000-4999 psi],18,0,0.5440117941496255,False,0.10575630711392037,0.0938556494290002,0.10575630711392037,0.0938556494290002,0.011900657684920171,11.252905864139922,0.011900657684920171
CMU [5000-5999 psi],8,0,0.820450280187645,False,0.030728472204757266,0.03104367551144257,0.030728472204757266,0.03104367551144257,-0.00031520330668530216,-1.0257695357743937,-0.00031520330668530216
CMU [<3000 psi],274,0,0.3314220274852647,False,0.03576610024495323,0.04775027318965437,0.03576610024495323,0.04775027318965437,-0.011984172944701138,-33.50707195535572,-0.011984172944701138
CMU [>=6000 psi],8,0,0.64,False,0.07390131724741301,0.07006162556066636,0.07390131724741301,0.07006162556066636,0.003839691686746652,5.1957012807928855,0.003839691686746652
CMU [strength not stated],39,0,0.5779785044886449,False,0.03876572426328642,0.04060586950907147,0.03876572426328642,0.04060586950907147,-0.0018401452457850465,-4.746835718294007,-0.0018401452457850465
CableTrays,59,0,0.01099289025350837,False,0.4477117303763373,0.22632749111177755,0.4477117303763373,0.22632749111177755,0.22138423926455977,49.447942558589816,0.22138423926455977
Carpet,1989,0,0.1011898167069837,False,0.044903034579488604,0.047885691670383077,0.044903034579488604,0.047885691670383077,-0.002982657090894472,-6.642439912639957,-0.002982657090894472
CastDecksAndUnderlayment,255,0,0.5201575756339739,False,0.023014239714432668,0.02798078537196166,0.023014239714432668,0.02798078537196166,-0.004966545657528992,-21.580316009372133,-0.004966545657528992
Cement,1084,0,0.1481267770545474,False,0.08248842312265656,0.04893931069770843,0.08248842312265656,0.04893931069770843,0.033549112424948124,40.67129804998468,0.033549112424948124
CementBoard,21,0,0.22569848593426994,False,0.08529047721209657,0.0966206078812284,0.08529047721209657,0.0966206078812284,-0.011330130669131841,-13.284168455238648,-0.011330130669131841
CementGrout,3764,0,0.2343750316455905,False,0.03861097497623342,0.05431052236347919,0.03861097497623342,0.05431052236347919,-0.01569954738724577,-40.66084163093385,-0.01569954738724577
CementitiousSheathingBoard,51,0,0.04085301099425556,False,0.2518838873258652,0.10723768136652258,0.2518838873258652,0.10723768136652258,0.14464620595934263,57.42574782967841,0.14464620595934263
Chairs,86,2,0.0052010359362605375,True,0.49203852411672516,0.4566891945668153,0.49428591552161144,0.45864868808027015,0.03534932954990988,7.18426054410407,0.03563722744134129
Coil,140,0,0.0740106473679391,False,0.18638398160265576,0.09642909793345433,0.18638398160265576,0.09642909793345433,0.08995488366920143,48.26320529034115,0.08995488366920143
CompositeLumber,16,0,0.46606474959747946,False,0.05977073046995957,0.06077201141209987,0.05977073046995957,0.06077201141209987,-0.0010012809421402966,-1.6752027861589123,-0.0010012809421402966
CompositionSiding,3,0,0.14064236565294416,False,0.6535542345315156,0.4780139084511702,0.6535542345315156,0.4780139084511702,0.17554032608034542,26.85933573763426,0.17554032608034542
ConcreteAdmixtures,118,1,0.008480029821294453,True,0.14466231994392292,0.1900845602856277,0.1429605227248789,0.19063734030231383,-0.04542224034170478,-31.398805410636516,-0.047676817577434916
ConcretePaving [3000-3999 psi],108,0,0.5613822395499839,False,0.03583255219319195,0.03245938421206764,0.03583255219319195,0.03245938421206764,0.00337316798112431,9.413697251978604,0.00337316798112431
ConcretePaving [4000-4999 psi],160,0,0.4243447668112102,False,0.024469118581977322,0.02543693302809665,0.024469118581977322,0.02543693302809665,-0.0009678144461193264,-3.9552485018081853,-0.0009678144461193264
ConcretePaving [5000-5999 psi],42,0,0.616712373678078,False,0.04387864558096427,0.04606354392853946,0.04387864558096427,0.04606354392853946,-0.0021848983475751885,-4.97941155349393,-0.0021848983475751885
ConcretePaving [<3000 psi],32,0,0.5974579017580314,False,0.0652946575653302,0.05593149912904354,0.0652946575653302,0.05593149912904354,0.009363158436286663,14.339853803381091,0.009363158436286663
ConcretePaving [strength not stated],38,0,0.45349067680701627,False,0.05120807944865746,0.054552863452088506,0.05120807944865746,0.054552863452088506,-0.0033447840034310436,-6.531750535156489,-0.0033447840034310436
Countertops,76,0,0.016594949983799977,False,0.22668419793988434,0.2069910160080867,0.22668419793988434,0.2069910160080867,0.019693181931797643,8.687496574869408,0.019693181931797643
CurtainWalls,54,0,0.12200828741293855,False,0.10965390843642307,0.12984755347063087,0.10965390843642307,0.12984755347063087,-0.0201936450342078,-18.415800514685714,-0.0201936450342078
